,year,name,date,Descriptive,Dry,Wet,Drizzle,Rain
197,1971,South African Grand Prix,1971-03-06,"Sun, Dry",1.0,0.0,0.0,0.0
198,1971,Spanish Grand Prix,1971-04-18,"Sun, Dry",1.0,0.0,0.0,0.0
199,1971,Monaco Grand Prix,1971-05-23,"Sun, Dry",1.0,0.0,0.0,0.0
200,1971,Dutch Grand Prix,1971-06-20,Wet,0.0,1.0,0.0,0.0
201,1971,French Grand Prix,1971-07-04,"Sun, Dry",1.0,0.0,0.0,0.0
202,1971,British Grand Prix,1971-07-17,"Sun, Dry",1.0,0.0,0.0,0.0
203,1971,German Grand Prix,1971-08-01,"Sun, Dry",1.0,0.0,0.0,0.0
204,1971,Austrian Grand Prix,1971-08-15,"Sun, Dry",1.0,0.0,0.0,0.0
205,1971,Italian Grand Prix,1971-09-05,"Sun, Dry",1.0,0.0,0.0,0.0
206,1971,Canadian Grand Prix,1971-09-19,Wet,0.0,1.0,0.0,0.0
207,1971,United States Grand Prix,1971-10-03,"Sun, Dry",1.0,0.0,0.0,0.0
208,1972,Argentine Grand Prix,1972-01-23,Wet,0.0,1.0,0.0,0.0
209,1972,South African Grand Prix,1972-03-04,"Sun, Dry",1.0,0.0,0.0,0.0
210,1972,Spanish Grand Prix,1972-05-01,Wet,0.0,1.0,0.0,0.0
211,1972,Monaco Grand Prix,1972-05-14,Wet,0.0,1.0,0.0,0.0
212,1972,Belgian Grand Prix,1972-06-04,"Sun, Dry",1.0,0.0,0.0,0.0
213,1972,French Grand Prix,1972-07-02,"Sun, Dry",1.0,0.0,0.0,0.0
214,1972,British Grand Prix,1972-07-15,"Sun, Dry",1.0,0.0,0.0,0.0
215,1972,German Grand Prix,1972-07-30,"Sun, Dry",1.0,0.0,0.0,0.0
216,1972,Austrian Grand Prix,1972-08-13,"Sun, Dry",1.0,0.0,0.0,0.0
217,1972,Italian Grand Prix,1972-09-10,"Sun, Dry",1.0,0.0,0.0,0.0
218,1972,Canadian Grand Prix,1972-09-24,"Sun, Dry",1.0,0.0,0.0,0.0
219,1972,United States Grand Prix,1972-10-08,"Sun, Dry",1.0,0.0,0.0,0.0
220,1973,Argentine Grand Prix,1973-01-28,"Sun, Dry",1.0,0.0,0.0,0.0
221,1973,Brazilian Grand Prix,1973-02-11,"Sun, Dry",1.0,0.0,0.0,0.0
222,1973,South African Grand Prix,1973-03-03,"Sun, Dry",1.0,0.0,0.0,0.0
223,1973,Spanish Grand Prix,1973-04-29,"Sun, Dry",1.0,0.0,0.0,0.0
224,1973,Belgian Grand Prix,1973-05-20,"Sun, Dry",1.0,0.0,0.0,0.0
225,1973,Monaco Grand Prix,1973-06-03,"Dry, hot",1.0,0.0,0.0,0.0
226,1973,Swedish Grand Prix,1973-06-17,"Sun, Dry",1.0,0.0,0.0,0.0
227,1973,French Grand Prix,1973-07-01,"Sun, Dry",1.0,0.0,0.0,0.0
228,1973,British Grand Prix,1973-07-14,"Sun, Dry",1.0,0.0,0.0,0.0
229,1973,Dutch Grand Prix,1973-07-29,"Sun, Dry",1.0,0.0,0.0,0.0
230,1973,German Grand Prix,1973-08-05,"Sun, Dry",1.0,0.0,0.0,0.0
231,1973,Austrian Grand Prix,1973-08-19,"Sun, Dry",1.0,0.0,0.0,0.0
232,1973,Italian Grand Prix,1973-09-09,"Sun, Dry",1.0,0.0,0.0,0.0
233,1973,Canadian Grand Prix,1973-09-23,Wet,0.0,1.0,0.0,0.0
234,1973,United States Grand Prix,1973-10-07,"Sun, Dry",1.0,0.0,0.0,0.0
235,1974,Argentine Grand Prix,1974-01-13,"Sun, Dry",1.0,0.0,0.0,0.0
236,1974,Brazilian Grand Prix,1974-01-27,"Sun, Dry",1.0,0.0,0.0,0.0
237,1974,South African Grand Prix,1974-03-30,"Sun, Dry",1.0,0.0,0.0,0.0
238,1974,Spanish Grand Prix,1974-04-28,Wet,0.0,1.0,0.0,0.0
239,1974,Belgian Grand Prix,1974-05-12,"Sun, Dry",1.0,0.0,0.0,0.0
240,1974,Monaco Grand Prix,1974-05-26,"Sun, Dry",1.0,0.0,0.0,0.0
241,1974,Swedish Grand Prix,1974-06-09,"Sun, Dry",1.0,0.0,0.0,0.0
242,1974,Dutch Grand Prix,1974-06-23,"Sun, Dry",1.0,0.0,0.0,0.0
243,1974,French Grand Prix,1974-07-07,"Sun, Dry",1.0,0.0,0.0,0.0
244,1974,British Grand Prix,1974-07-20,"Sun, Dry",1.0,0.0,0.0,0.0
245,1974,German Grand Prix,1974-08-04,Wet,0.0,1.0,0.0,0.0
246,1974,Austrian Grand Prix,1974-08-18,"Sun, Dry",1.0,0.0,0.0,0.0
247,1974,Italian Grand Prix,1974-09-08,"Sun, Dry",1.0,0.0,0.0,0.0
248,1974,Canadian Grand Prix,1974-09-22,"Sun, Dry",1.0,0.0,0.0,0.0
249,1974,United States Grand Prix,1974-10-06,"Sun, Dry",1.0,0.0,0.0,0.0
250,1975,Argentine Grand Prix,1975-01-12,"Sun, Dry",1.0,0.0,0.0,0.0
251,1975,Brazilian Grand Prix,1975-01-26,"Sun, Dry",1.0,0.0,0.0,0.0
252,1975,South African Grand Prix,1975-03-01,"Sun, Dry",1.0,0.0,0.0,0.0
253,1975,Spanish Grand Prix,1975-04-27,"Sun, Dry",1.0,0.0,0.0,0.0
254,1975,Monaco Grand Prix,1975-05-11,Wet,0.0,1.0,0.0,0.0
255,1975,Belgian Grand Prix,1975-05-25,"Sun, Dry",1.0,0.0,0.0,0.0
256,1975,Swedish Grand Prix,1975-06-08,"Sun, Dry",1.0,0.0,0.0,0.0
257,1975,Dutch Grand Prix,1975-06-22,Wet,0.0,1.0,0.0,0.0
